dataset,n,m,dgy,cclos,t
data/pollination-carlinville.txt.gz,1500,15255,18,67,0.03
data/pollination-daphni.txt.gz,797,2933,9,45,0.00
data/pollination-tenerife.txt.gz,68,129,4,11,0.00
data/pollination-uk.txt.gz,984,16712,35,202,0.03
data/ratbrain.txt.gz,503,23030,67,127,0.02
data/reactome.txt.gz,6327,147547,191,446,0.22
data/residence_hall.txt.gz,217,1839,11,18,0.00
data/rhesusbrain.txt.gz,242,3054,19,38,0.01
data/roget-thesaurus.txt.gz,1010,3648,6,8,0.00
data/seventh-graders.txt.gz,29,250,13,18,0.00
data/slashdot,51083,117378,14,65,0.4
data/soc-Epinions1.txt.gz,75879,405740,67,551,1.94
data/soc-Slashdot0811.txt.gz,77360,469180,54,618,1.20
data/soc-advogato.txt.gz,5167,39432,25,218,0.05
data/soc-gplus.txt.gz,23628,39194,12,490,0.09
data/soc-hamsterster.txt.gz,2426,16630,24,77,0.02
data/soc-wiki-Vote.txt.gz,889,2914,9,18,0.00
data/sp_data_school_day_2.txt.gz,238,5539,33,54,0.02
data/teams.txt.gz,935591,1366466,9,351,22.83
data/train_bombing.txt.gz,64,243,10,9,0.00
data/tv_tropes.txt.gz,152093,3232134,115,2655,37.03
data/twittercrawl.txt.gz,3656,154824,143,507,0.74
data/ukroad.txt.gz,12378,15641,3,5,0.02
data/unicode_languages.txt.gz,868,1255,4,19,0.00
data/wafa-ceos.txt.gz,26,93,5,7,0.00
data/wafa-eies.txt.gz,45,652,24,31,0.00
data/wafa-hightech.txt.gz,21,159,12,17,0.00
data/wafa-padgett.txt.gz,15,27,3,4,0.00
data/web-EPA.txt.gz,4271,8909,6,64,0.01
data/web-california.txt.gz,6175,15969,11,69,0.02
data/web-google.txt.gz,1299,2773,17,18,0.00
data/wiki-vote.txt.gz,7115,100762,53,441,0.21
data/wikipedia-norm.txt.gz,1881,15372,22,138,0.03
data/win95pts.txt.gz,99,112,2,4,0.00
data/windsurfers.txt.gz,43,336,11,17,0.00
data/word_adjacencies.txt.gz,112,425,6,14,0.00
data/zewail.txt.gz,6651,54182,18,99,0.06
